Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1990","1990","gigagrammes","212014.2465","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1991","1991","gigagrammes","217071.0841","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1992","1992","gigagrammes","220725.8598","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1993","1993","gigagrammes","223072.0078","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1994","1994","gigagrammes","221518.598","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1995","1995","gigagrammes","228025.2733","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1996","1996","gigagrammes","240981.5226","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1997","1997","gigagrammes","257369.4553","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1998","1998","gigagrammes","277204.2556","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","1999","1999","gigagrammes","282636.9002","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","2000","2000","gigagrammes","284014.2092","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","2001","2001","gigagrammes","288854.1695","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"EM","Emissions par secteur","10","Australie","7231","Émissions (CO2eq)","6814","Énergie (industries énergétiques, manufacturières, construction et émissions fugitives)","2002","2002","gigagrammes","298261.4599","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
