Colonne1,code_region,region_x,continent,annee,agriculture,autres_sources,dechets,foret,procedes_industriels_utilisation_produits,secteur_residentiel_commercial_institutionnel_AFP,source_utilisation_terres,transport,energies,emissions_totale,variation_temperature,ecart_type,region,population_totale
0,5101,Afrique de l'Est,Afrique,1990,213806.9994,8092.767,19437.3238,2926.2145,4280.3615,21519.0804,858348.7692,11677.4834,29633.4361,1169722.4353,0.466,0.24100000000000002,Afrique de l'Est,191675751.99999997
1,5101,Afrique de l'Est,Afrique,1991,209740.1612,5898.897,20090.736,2972.6834,4384.5286,22967.3231,858302.3003,11040.4994,32236.7717,1167633.9007,0.41100000000000003,0.24100000000000002,Afrique de l'Est,197023078.0
2,5101,Afrique de l'Est,Afrique,1992,210113.6893,10945.5124,20732.8091,3020.0885,4031.6083,24227.8173,858254.8952,11863.0169,32353.4168,1175542.8538,0.419,0.24100000000000002,Afrique de l'Est,202306215.0
3,5101,Afrique de l'Est,Afrique,1993,203927.9355,5017.1895,21462.156000000003,4644.3406,4151.21,26232.5338,856630.6432,11900.8487,31701.2499,1165668.1072,0.267,0.24100000000000002,Afrique de l'Est,207616920.0
4,5101,Afrique de l'Est,Afrique,1994,205275.8157,6278.3529,22200.9902,4711.0966,4103.4685,27397.5459,856563.8871,12230.7041,31150.1545,1169912.0155,0.35100000000000003,0.24100000000000002,Afrique de l'Est,213087957.0
5,5101,Afrique de l'Est,Afrique,1995,209130.7068,6748.9695,22965.9916,4779.5731,4537.4843,29179.377999999997,856495.4106,13326.3011,30569.5247,1177733.3397000001,0.675,0.24100000000000002,Afrique de l'Est,218816136.00000003
6,5101,Afrique de l'Est,Afrique,1996,210188.5795,5446.5499,23753.4151,4849.9714,5068.0298,29867.0338,900686.618,13839.2279,29989.1048,1223688.5302000002,0.49,0.24100000000000002,Afrique de l'Est,224836609.0
7,5101,Afrique de l'Est,Afrique,1997,211036.1905,5141.1785,24568.1145,4922.5224,5013.9293,30382.8357,848494.1479999999,13661.0878,30139.9896,1173359.9963,0.46,0.24100000000000002,Afrique de l'Est,231124313.99999997
8,5101,Afrique de l'Est,Afrique,1998,225695.0958,6939.7458,25441.2181,4997.4932,4734.7071,29699.0187,875199.152,14180.7156,32257.8304,1219144.9767,0.8420000000000001,0.24100000000000002,Afrique de l'Est,237643440.0
9,5101,Afrique de l'Est,Afrique,1999,224585.121,5738.0512,26245.6813,5075.1945,4661.6990000000005,30382.6448,832814.9890000001,14889.4538,33313.769,1177706.6036000003,0.366,0.24100000000000002,Afrique de l'Est,244333812.0
10,5101,Afrique de l'Est,Afrique,2000,214118.7344,5706.3441,27133.8332,5155.9906,4833.4545,30497.1767,845136.7275,14429.6102,33798.3215,1180810.1927,0.525,0.24100000000000002,Afrique de l'Est,251153970.0
11,5101,Afrique de l'Est,Afrique,2001,223565.9896,5705.5016,27971.5509,-62076.4735,5230.5695,30581.0447,768305.4399,15450.7677,35491.1734,1050225.5638,0.493,0.24100000000000002,Afrique de l'Est,258101532.0
12,5101,Afrique de l'Est,Afrique,2002,226191.6647,5222.304,28782.4696,-62028.0135,5320.9215,30846.7539,747219.8487,15435.3317,35741.6589,1032732.9395,0.823,0.24100000000000002,Afrique de l'Est,265202145.00000003
13,5101,Afrique de l'Est,Afrique,2003,239309.27899999998,5715.9696,29575.1798,-61978.818,6011.5042,32112.2693,792345.4562,15876.9112,35019.7584,1093987.5096999998,0.877,0.24100000000000002,Afrique de l'Est,272475547.0
14,5101,Afrique de l'Est,Afrique,2004,239386.4042,5217.402,30415.7926,-61928.8783,6462.3832,31462.1026,819586.4028,16204.9348,37509.502,1124316.0459,0.6509999999999999,0.24100000000000002,Afrique de l'Est,279950148.0
